Date,Region,Product Category,Sales Amount (USD),Revenue (USD),Customer ID,Marketing Channel
2020-12-20,North,Electronics,1734,3899,17VWU,Online Ads
2020-05-21,North,Electronics,5778,2006,58LTE,Online Ads
2023-05-23,South,Electronics,6282,6614,TU79H,Social Media
2021-09-28,East,Apparel,9825,8924,Z35SL,Social Media
2021-02-09,North,Toys,2283,4082,0ECBX,Direct Mail
2021-10-12,East,Electronics,8160,8988,GV8R6,Social Media
2023-12-16,East,Furniture,4560,2540,KC5RN,Direct Mail
2021-01-04,North,Electronics,7227,4688,7C5N5,Online Ads
2022-10-21,West,Furniture,2290,4636,YLDIE,Social Media
2020-06-21,West,Furniture,8075,2837,XCZS2,Online Ads
2021-03-04,South,Toys,9089,5135,TWQMW,Social Media
2022-12-16,South,Toys,7961,8923,Q4QQ8,Email
2021-07-16,West,Toys,1363,1958,NPWSM,Direct Mail
2022-12-26,East,Electronics,1634,2207,5DYZB,Social Media
2023-02-20,North,Electronics,3501,1357,PCPQM,Email
2023-02-01,East,Toys,6367,1280,P9OMI,Direct Mail
2021-10-03,South,Electronics,4590,5969,X5Y9T,Direct Mail
2021-07-28,North,Toys,1060,7600,M1GZG,Social Media
2020-03-04,North,Furniture,6095,7309,CUNJX,Direct Mail
2022-07-27,West,Furniture,2131,8848,2UL6G,Direct Mail
2020-11-12,North,Toys,6575,4528,6XHVL,Direct Mail
2023-04-12,South,Apparel,1278,4947,94BU7,Online Ads
2022-08-05,West,Electronics,1969,2782,WBIEY,Email
2023-05-17,North,Toys,7889,2488,U5LCJ,Email
2023-08-19,East,Apparel,8388,6184,CXFDW,Email
2021-05-09,West,Furniture,1048,3955,NUCXH,Online Ads
2022-09-14,East,Toys,3683,7060,FDO1H,Online Ads
2020-03-04,South,Electronics,9964,8526,VPROW,Direct Mail
2020-02-19,West,Apparel,9116,1707,NKJ0S,Email
2020-05-06,East,Apparel,6202,950,C9BOP,Social Media
2023-05-11,South,Furniture,5094,2852,6FJPC,Direct Mail
2021-06-11,South,Toys,2074,6378,EAWY7,Social Media
2022-02-11,North,Toys,5828,5793,L87OM,Social Media
2021-11-12,East,Furniture,3362,7937,3Y3R0,Direct Mail
2022-07-25,South,Electronics,3284,827,AX1AD,Online Ads
2020-07-09,West,Toys,6131,8382,JXEN1,Social Media
2023-01-23,West,Furniture,7401,2496,408WB,Email
2020-09-26,East,Apparel,9306,1565,7C9B9,Email
2022-07-05,South,Electronics,3757,1379,N4ILT,Social Media
2021-04-22,East,Apparel,7238,941,A7YRG,Social Media
2022-07-14,South,Electronics,8233,3482,MGASZ,Email
2022-10-16,North,Toys,4839,3962,A50Q5,Social Media
2020-10-04,West,Electronics,6118,2382,Y4SQQ,Email
2023-08-01,South,Toys,4560,1476,05I1W,Online Ads
2020-07-06,West,Electronics,2676,8341,BGHSL,Social Media
2023-02-19,South,Furniture,6430,3504,X9ZPC,Email
2022-11-21,West,Electronics,6620,1471,LP6M1,Online Ads
2022-12-17,West,Toys,6269,5953,UGRF7,Social Media
2021-12-28,West,Toys,8545,5562,D7B3O,Direct Mail
2021-05-17,West,Electronics,8580,8042,R761V,Online Ads
2020-01-01,East,Toys,6315,1574,0L185,Direct Mail
2022-05-08,West,Furniture,3796,5328,95HNP,Online Ads
2022-12-07,East,Electronics,7086,2326,GE4SI,Direct Mail
2021-08-21,South,Apparel,2602,6102,WYUTJ,Online Ads
2020-05-18,North,Apparel,8053,5416,FE1SG,Email
2021-08-28,East,Electronics,4941,7139,NWZQ2,Online Ads
2022-10-11,West,Electronics,2083,2584,6MBPT,Email
2022-03-09,West,Toys,7734,4213,Q2O28,Direct Mail
2022-03-17,South,Electronics,5087,8200,FD6BB,Online Ads
2020-07-24,East,Apparel,7301,7939,89ECA,Direct Mail
2022-01-09,South,Furniture,5369,3284,ZIJAU,Email
2022-06-13,South,Toys,5784,1911,VVW23,Direct Mail
2022-11-22,East,Electronics,4968,4384,B6V86,Social Media
2023-10-24,West,Apparel,1955,8279,DRTLE,Online Ads
2020-04-19,South,Apparel,5669,8847,0143V,Direct Mail
2020-09-02,South,Toys,5890,6306,9EX77,Online Ads
2021-12-07,North,Apparel,6528,3602,7ZOMJ,Direct Mail
